기간,자치구,면적,인구,배출량,매립,소각,재활용,출생건수.명.,사망건수.명.,여행업.수,관광호텔업.호텔수,관광호텔업.객실수,총.기초수급자.수,총.일반노인.수,비만.BMI.25.,저체중.BMI.18.5.,정상.18.5.BMI.25.,체질량지수.BMI..평균.,park,culture2,market,휴게음식점,일반음식점,제과점,단란주점,유흥주점,위탁급식영업,사업체수,종사자수
2014,강남구,40,583446,2952.7,425.8,151.6,2375.3,4654,1848,933,39,6811,1634,8818,17.2,9.7,73.1,22.4,138,29,1128,2877,11236,346,328,276,130,70262,645060
2014,강동구,25,481332,1065.9,73.7,60,932.2,4089,1895,103,5,305,1483,8793,25.1,5.9,69,23.1,135,5,1290,800,4175,141,105,151,34,30481,139346
2014,강북구,24,338410,744.2,16.5,66.5,661.2,2360,1747,32,3,238,2509,9011,24.8,4.8,70.3,23.1,83,3,770,423,3757,82,129,74,14,19223,70919
2014,강서구,41,591653,3225.7,568.8,255.2,2401.7,5424,2474,176,21,1733,3190,9933,23.7,6.3,70,23,167,1,842,938,4609,172,169,114,56,32789,185361
2014,관악구,30,531960,1112.8,111.1,32.3,969.4,4071,2057,76,2,103,1952,3143,27.3,5.2,67.5,23.2,111,1,949,740,4511,115,100,228,17,26396,112223
2014,광진구,17,377375,1099.4,41.9,60.3,997.2,3011,1398,77,5,1300,1358,6821,21.6,5.6,72.8,22.9,56,15,638,765,4092,124,89,19,30,24760,117420
2014,구로구,20,457131,1002.1,86.9,124.9,790.3,4279,1666,168,4,1154,1506,5539,26.8,4.9,68.3,23.2,90,6,909,710,4166,119,100,40,40,36679,197894
2014,금천구,13,258030,808.8,127.7,9.4,671.7,1820,1139,120,3,342,1658,4643,26.4,4.7,68.9,23.3,51,4,896,482,3110,64,84,60,60,29557,214128
2014,노원구,35,586056,1192.2,84.4,109.3,998.5,4715,2639,35,2,134,4043,11208,25.6,6,68.4,23,178,4,331,835,3550,146,57,28,44,26081,109272
2014,도봉구,21,355712,641.7,13.2,55.4,573.1,2553,1632,32,1,51,1586,3174,23.7,6.1,70.2,22.9,80,3,285,388,2375,76,56,21,28,18584,66137
2014,동대문구,14,376319,1014.9,43.2,97.2,874.5,2634,1831,80,8,809,2412,9323,26.7,6.5,66.8,23.2,99,0,2981,810,4582,117,111,81,31,32878,137079
2014,동작구,16,419261,1345.5,29.3,81.3,1234.9,3765,1564,57,1,64,1902,8490,20.8,6.8,72.3,22.8,82,1,511,669,3189,106,53,52,25,20160,105146
2014,마포구,24,395830,1932,101.3,116.6,1714.1,3373,1534,723,8,1368,1759,8099,23.5,6.1,70.5,22.9,152,29,1418,1199,6632,171,95,65,42,35070,227966
2014,서대문구,18,320861,1024,18.8,93.9,911.3,2334,1405,208,1,503,1329,8171,24.6,4.5,71,23.1,120,6,636,967,4136,103,65,32,42,19454,102163
2014,서초구,47,454288,2234.9,67.9,140,2027,4135,1404,763,9,1574,674,6975,21.9,6.8,71.2,22.7,148,22,824,1528,6521,274,113,83,79,45932,390662
2014,성동구,17,303891,2700.2,711.4,90.2,1898.6,2654,1265,99,5,300,1272,5710,24.3,5.8,69.9,22.9,81,3,2592,569,2920,86,53,24,36,25714,152831
2014,성북구,25,475961,1117.6,26.6,96.8,994.2,3537,2117,39,4,277,2472,11299,24.5,6.7,68.8,23.1,130,6,883,804,3957,145,72,8,37,25104,107496
2014,송파구,34,671794,2232.1,122.8,143.1,1966.2,6001,2180,215,8,1037,1364,9350,22.5,5.8,71.7,22.8,144,14,1369,1520,6132,218,180,96,68,44301,263841
2014,양천구,17,490708,995.2,87.5,112.4,795.3,3527,1864,135,1,50,1729,7796,21.8,7,71.2,22.8,119,5,610,670,3288,161,80,7,27,26189,114617
2014,영등포구,25,421436,1674.8,67.7,138.9,1468.2,3480,1563,417,10,1640,1920,10116,21.9,4.7,73.4,23,120,8,2979,1301,7024,139,277,186,103,44099,343943
2014,용산구,22,249914,1210.2,26.8,87.7,1095.7,1976,1120,169,8,1558,1479,6425,25,6.9,68.1,23,101,7,444,706,3716,76,121,35,40,20482,126073
2014,은평구,30,503243,1271.5,173.3,46.5,1051.7,4085,2296,86,4,216,2652,11764,23.2,5.7,71.1,23,137,1,1247,740,4078,141,141,83,17,24269,84489
2014,종로구,24,165344,1860.8,45.7,104.4,1710.7,905,864,900,15,1780,1075,6247,24.6,6.7,68.7,23.1,114,141,10428,1295,6648,114,136,224,63,40923,245698
